;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 15/05/2017 09:18:11
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF009EF77  	GOTO        4846
_interrupt:
;motor.c,39 :: 		void interrupt(void)
0x0008	0xF023C000  	MOVFF       R0, 35
0x000C	0xF022C001  	MOVFF       R1, 34
0x0010	0xF021C002  	MOVFF       R2, 33
0x0014	0xF020C003  	MOVFF       R3, 32
0x0018	0xF01FC004  	MOVFF       R4, 31
0x001C	0xF01EC005  	MOVFF       R5, 30
0x0020	0xF01DC006  	MOVFF       R6, 29
0x0024	0xF01CC007  	MOVFF       R7, 28
0x0028	0xF01BC008  	MOVFF       R8, 27
0x002C	0xF01AC009  	MOVFF       R9, 26
0x0030	0xF019C00A  	MOVFF       R10, 25
0x0034	0xF018C00B  	MOVFF       R11, 24
0x0038	0xF017C00C  	MOVFF       R12, 23
0x003C	0xF016C00D  	MOVFF       R13, 22
0x0040	0xF015C00E  	MOVFF       R14, 21
;motor.c,41 :: 		if (intcon.tmr0if)
0x0044	0xF026CFE1  	MOVFF       FSR1L, 38
0x0048	0xF027CFE2  	MOVFF       FSR1H, 39
0x004C	0xF024CFF3  	MOVFF       PROD, 36
0x0050	0xF025CFF4  	MOVFF       PRODH, 37
0x0054	0xA4F2      	BTFSS       INTCON, 2 
0x0056	0xD01F      	BRA         L_interrupt0
;motor.c,44 :: 		tmr0h = COUNTER >> 8;  // Load Timer 0 COUNTER - 1st TMR0H
0x0058	0x0EF0      	MOVLW       240
0x005A	0x6ED7      	MOVWF       TMR0H 
;motor.c,45 :: 		tmr0l = COUNTER;       // Load Timer 0 COUNTER - 2nd TMR0L
0x005C	0x0EBC      	MOVLW       188
0x005E	0x6ED6      	MOVWF       TMR0L 
;motor.c,47 :: 		freq = pulse_count/WINDOW;
0x0060	0xF000C043  	MOVFF       _pulse_count, R0
0x0064	0xF001C044  	MOVFF       _pulse_count+1, R1
0x0068	0xF007EC19  	CALL        _Int2Double, 0
0x006C	0x0E00      	MOVLW       0
0x006E	0x6E04      	MOVWF       R4 
0x0070	0x0E00      	MOVLW       0
0x0072	0x6E05      	MOVWF       R5 
0x0074	0x0E00      	MOVLW       0
0x0076	0x6E06      	MOVWF       R6 
0x0078	0x0E7E      	MOVLW       126
0x007A	0x6E07      	MOVWF       R7 
0x007C	0xF008ECA4  	CALL        _Div_32x32_FP, 0
0x0080	0xF039C000  	MOVFF       R0, _freq
0x0084	0xF03AC001  	MOVFF       R1, _freq+1
0x0088	0xF03BC002  	MOVFF       R2, _freq+2
0x008C	0xF03CC003  	MOVFF       R3, _freq+3
;motor.c,48 :: 		pulse_count = 0;
0x0090	0x6A43      	CLRF        _pulse_count 
0x0092	0x6A44      	CLRF        _pulse_count+1 
;motor.c,50 :: 		intcon.tmr0if = 0;
0x0094	0x94F2      	BCF         INTCON, 2 
;motor.c,51 :: 		}
L_interrupt0:
;motor.c,53 :: 		if(intcon.int0if)
0x0096	0xA2F2      	BTFSS       INTCON, 1 
0x0098	0xD00B      	BRA         L_interrupt1
;motor.c,55 :: 		++pulse_count;
0x009A	0x0E01      	MOVLW       1
0x009C	0x2443      	ADDWF       _pulse_count, 0 
0x009E	0x6E00      	MOVWF       R0 
0x00A0	0x0E00      	MOVLW       0
0x00A2	0x2044      	ADDWFC      _pulse_count+1, 0 
0x00A4	0x6E01      	MOVWF       R1 
0x00A6	0xF043C000  	MOVFF       R0, _pulse_count
0x00AA	0xF044C001  	MOVFF       R1, _pulse_count+1
;motor.c,57 :: 		intcon.int0if=0;
0x00AE	0x92F2      	BCF         INTCON, 1 
;motor.c,58 :: 		}
L_interrupt1:
;motor.c,60 :: 		if(intcon3.int1if)
0x00B0	0xA0F0      	BTFSS       INTCON3, 0 
0x00B2	0xD00B      	BRA         L_interrupt2
;motor.c,62 :: 		keypadhandler();
0x00B4	0xF006EC84  	CALL        _keypadHandler, 0
;motor.c,65 :: 		tmr3h = COUNTER3 >> 8;
0x00B8	0x0E15      	MOVLW       21
0x00BA	0x6EB3      	MOVWF       TMR3H 
;motor.c,66 :: 		tmr3l = COUNTER3;
0x00BC	0x0E9F      	MOVLW       159
0x00BE	0x6EB2      	MOVWF       TMR3L 
;motor.c,67 :: 		pir2.tmr3if = 0;
0x00C0	0x92A1      	BCF         PIR2, 1 
;motor.c,68 :: 		pie2.tmr3ie = 1;
0x00C2	0x82A0      	BSF         PIE2, 1 
;motor.c,69 :: 		t3con.tmr3on = 1;
0x00C4	0x80B1      	BSF         T3CON, 0 
;motor.c,72 :: 		intcon3.int1ie = 0;
0x00C6	0x96F0      	BCF         INTCON3, 3 
;motor.c,73 :: 		intcon3.int1if = 0;
0x00C8	0x90F0      	BCF         INTCON3, 0 
;motor.c,74 :: 		}
L_interrupt2:
;motor.c,76 :: 		if(pir2.tmr3if) // related to bouncing
0x00CA	0xA2A1      	BTFSS       PIR2, 1 
0x00CC	0xD005      	BRA         L_interrupt3
;motor.c,78 :: 		pir2.tmr3if = 0;
0x00CE	0x92A1      	BCF         PIR2, 1 
;motor.c,79 :: 		pie2.tmr3ie = 0;
0x00D0	0x92A0      	BCF         PIE2, 1 
;motor.c,80 :: 		t3con.tmr3on = 0;
0x00D2	0x90B1      	BCF         T3CON, 0 
;motor.c,83 :: 		intcon3.int1ie = 1;
0x00D4	0x86F0      	BSF         INTCON3, 3 
;motor.c,84 :: 		intcon3.int1if = 0;
0x00D6	0x90F0      	BCF         INTCON3, 0 
;motor.c,85 :: 		}
L_interrupt3:
;motor.c,86 :: 		}
L_end_interrupt:
L__interrupt32:
0x00D8	0xFFF3C024  	MOVFF       36, PROD
0x00DC	0xFFF4C025  	MOVFF       37, PRODH
0x00E0	0xF000C023  	MOVFF       35, R0
0x00E4	0xF001C022  	MOVFF       34, R1
0x00E8	0xF002C021  	MOVFF       33, R2
0x00EC	0xF003C020  	MOVFF       32, R3
0x00F0	0xF004C01F  	MOVFF       31, R4
0x00F4	0xF005C01E  	MOVFF       30, R5
0x00F8	0xF006C01D  	MOVFF       29, R6
0x00FC	0xF007C01C  	MOVFF       28, R7
0x0100	0xF008C01B  	MOVFF       27, R8
0x0104	0xF009C01A  	MOVFF       26, R9
0x0108	0xF00AC019  	MOVFF       25, R10
0x010C	0xF00BC018  	MOVFF       24, R11
0x0110	0xF00CC017  	MOVFF       23, R12
0x0114	0xF00DC016  	MOVFF       22, R13
0x0118	0xF00EC015  	MOVFF       21, R14
0x011C	0xFFE1C026  	MOVFF       38, FSR1L
0x0120	0xFFE2C027  	MOVFF       39, FSR1H
0x0124	0x0011      	RETFIE      1
; end of _interrupt
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x0126	0x0E0F      	MOVLW       15
0x0128	0x6E0C      	MOVWF       R12, 0
0x012A	0x0E47      	MOVLW       71
0x012C	0x6E0D      	MOVWF       R13, 0
L_Delay_5500us5:
0x012E	0x2E0D      	DECFSZ      R13, 1, 0
0x0130	0xD7FE      	BRA         L_Delay_5500us5
0x0132	0x2E0C      	DECFSZ      R12, 1, 0
0x0134	0xD7FC      	BRA         L_Delay_5500us5
0x0136	0x0000      	NOP
0x0138	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x013A	0x0012      	RETURN      0
; end of _Delay_5500us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x013C	0x0E21      	MOVLW       33
0x013E	0x6E0D      	MOVWF       R13, 0
L_Delay_50us2:
0x0140	0x2E0D      	DECFSZ      R13, 1, 0
0x0142	0xD7FE      	BRA         L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x0144	0x0012      	RETURN      0
; end of _Delay_50us
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x0146	0x0000      	NOP
0x0148	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x014A	0x0012      	RETURN      0
; end of _Delay_1us
_SETFUN32:
;__Lib_MathDouble.c,144 :: 		
;__Lib_MathDouble.c,152 :: 		
0x014C	0x840B      	BSF         R11, 2, 0
;__Lib_MathDouble.c,153 :: 		
0x014E	0xAE0B      	BTFSS       R11, 7, 0
;__Lib_MathDouble.c,154 :: 		
0x0150	0xF000EFB1  	GOTO        SETFUN32EEE
;__Lib_MathDouble.c,156 :: 		
0x0154	0x0E01      	MOVLW       1
;__Lib_MathDouble.c,157 :: 		
0x0156	0x6E03      	MOVWF       R3, 0
;__Lib_MathDouble.c,158 :: 		
0x0158	0x6A02      	CLRF        R2, 0
;__Lib_MathDouble.c,159 :: 		
0x015A	0x6A01      	CLRF        R1, 0
;__Lib_MathDouble.c,160 :: 		
0x015C	0x6A00      	CLRF        R0, 0
;__Lib_MathDouble.c,161 :: 		
0x015E	0x360A      	RLCF        R10, 1, 0
;__Lib_MathDouble.c,162 :: 		
0x0160	0x3202      	RRCF        R2, 1, 0
;__Lib_MathDouble.c,163 :: 		
SETFUN32EEE:
;__Lib_MathDouble.c,164 :: 		
0x0162	0x0EFF      	MOVLW       255
;__Lib_MathDouble.c,166 :: 		
L_end_SETFUN32:
0x0164	0x0012      	RETURN      0
; end of _SETFUN32
_RES032:
;__Lib_MathDouble.c,128 :: 		
;__Lib_MathDouble.c,134 :: 		
0x0166	0x6A02      	CLRF        R2, 0
;__Lib_MathDouble.c,135 :: 		
0x0168	0x6A01      	CLRF        R1, 0
;__Lib_MathDouble.c,136 :: 		
0x016A	0x6A00      	CLRF        R0, 0
;__Lib_MathDouble.c,137 :: 		
0x016C	0x6A08      	CLRF        R8, 0
;__Lib_MathDouble.c,138 :: 		
0x016E	0x6A03      	CLRF        R3, 0
;__Lib_MathDouble.c,139 :: 		
0x0170	0x0E00      	MOVLW       0
;__Lib_MathDouble.c,141 :: 		
L_end_RES032:
0x0172	0x0012      	RETURN      0
; end of _RES032
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x0174	0xBE79      	BTFSC       FARG_Lcd_Cmd_out_char, 7 
0x0176	0xD002      	BRA         L__Lcd_Cmd21
0x0178	0x9E83      	BCF         lcd_d7, BitPos(lcd_d7+0) 
0x017A	0xD001      	BRA         L__Lcd_Cmd22
L__Lcd_Cmd21:
0x017C	0x8E83      	BSF         lcd_d7, BitPos(lcd_d7+0) 
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x017E	0xBC79      	BTFSC       FARG_Lcd_Cmd_out_char, 6 
0x0180	0xD002      	BRA         L__Lcd_Cmd23
0x0182	0x9C83      	BCF         lcd_d6, BitPos(lcd_d6+0) 
0x0184	0xD001      	BRA         L__Lcd_Cmd24
L__Lcd_Cmd23:
0x0186	0x8C83      	BSF         lcd_d6, BitPos(lcd_d6+0) 
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x0188	0xBA79      	BTFSC       FARG_Lcd_Cmd_out_char, 5 
0x018A	0xD002      	BRA         L__Lcd_Cmd25
0x018C	0x9A83      	BCF         lcd_d5, BitPos(lcd_d5+0) 
0x018E	0xD001      	BRA         L__Lcd_Cmd26
L__Lcd_Cmd25:
0x0190	0x8A83      	BSF         lcd_d5, BitPos(lcd_d5+0) 
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x0192	0xB879      	BTFSC       FARG_Lcd_Cmd_out_char, 4 
0x0194	0xD002      	BRA         L__Lcd_Cmd27
0x0196	0x9883      	BCF         lcd_d4, BitPos(lcd_d4+0) 
0x0198	0xD001      	BRA         L__Lcd_Cmd28
L__Lcd_Cmd27:
0x019A	0x8883      	BSF         lcd_d4, BitPos(lcd_d4+0) 
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x019C	0xB063      	BTFSC       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x019E	0xD002      	BRA         L__Lcd_Cmd29
0x01A0	0x8484      	BSF         lcd_rs, BitPos(lcd_rs+0) 
0x01A2	0xD001      	BRA         L__Lcd_Cmd30
L__Lcd_Cmd29:
0x01A4	0x9484      	BCF         lcd_rs, BitPos(lcd_rs+0) 
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x01A6	0x8284      	BSF         lcd_en, BitPos(lcd_en+0) 
;__Lib_Lcd.c,29 :: 		
0x01A8	0xDFCE      	RCALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x01AA	0x9284      	BCF         lcd_en, BitPos(lcd_en+0) 
;__Lib_Lcd.c,33 :: 		
0x01AC	0xB679      	BTFSC       FARG_Lcd_Cmd_out_char, 3 
0x01AE	0xD002      	BRA         L__Lcd_Cmd31
