;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 02/05/2017 15:45:56
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF00CEF49  	GOTO        6290
_interrupt:
;Temporizador.c,50 :: 		void interrupt(void)
0x0008	0xF018C000  	MOVFF       R0, 24
0x000C	0xF017C001  	MOVFF       R1, 23
0x0010	0xF016C00C  	MOVFF       R12, 22
0x0014	0xF015C00D  	MOVFF       R13, 21
;Temporizador.c,52 :: 		if(INTCON3.INT1IF)
0x0018	0xA0F0      	BTFSS       INTCON3, 0 
0x001A	0xD009      	BRA         L_interrupt0
;Temporizador.c,54 :: 		if(progMode)
0x001C	0x5033      	MOVF        _progMode, 0 
0x001E	0x1034      	IORWF       _progMode+1, 0 
0x0020	0xE002      	BZ          L_interrupt1
;Temporizador.c,56 :: 		keypadHandler();
0x0022	0xF00BEC54  	CALL        _keypadHandler, 0
;Temporizador.c,57 :: 		}
L_interrupt1:
;Temporizador.c,59 :: 		loadTimer2();
0x0026	0xF00BEC4E  	CALL        _loadTimer2, 0
;Temporizador.c,62 :: 		INTCON3.INT1IE = 0;
0x002A	0x96F0      	BCF         INTCON3, 3 
;Temporizador.c,63 :: 		INTCON3.INT1IF = 0;
0x002C	0x90F0      	BCF         INTCON3, 0 
;Temporizador.c,64 :: 		}
L_interrupt0:
;Temporizador.c,65 :: 		if(PIR1.TMR2IF) // Related to bouncing
0x002E	0xA29E      	BTFSS       PIR1, 1 
0x0030	0xD009      	BRA         L_interrupt2
;Temporizador.c,68 :: 		PIR1.TMR2IF=0;
0x0032	0x929E      	BCF         PIR1, 1 
;Temporizador.c,69 :: 		PIE1.TMR2IE=0;
0x0034	0x929D      	BCF         PIE1, 1 
;Temporizador.c,70 :: 		T2CON.TMR2ON=0;
0x0036	0x94CA      	BCF         T2CON, 2 
;Temporizador.c,73 :: 		INTCON3.INT1IE = 1;
0x0038	0x86F0      	BSF         INTCON3, 3 
;Temporizador.c,74 :: 		INTCON3.INT1IF = 0;
0x003A	0x90F0      	BCF         INTCON3, 0 
;Temporizador.c,77 :: 		INTCON.INT0IE = 1;
0x003C	0x88F2      	BSF         INTCON, 4 
;Temporizador.c,78 :: 		INTCON.INT0IF = 0;
0x003E	0x92F2      	BCF         INTCON, 1 
;Temporizador.c,81 :: 		INTCON3.INT2IE = 1;
0x0040	0x88F0      	BSF         INTCON3, 4 
;Temporizador.c,82 :: 		INTCON3.INT2IF = 0;
0x0042	0x92F0      	BCF         INTCON3, 1 
;Temporizador.c,83 :: 		}
L_interrupt2:
;Temporizador.c,84 :: 		if(INTCON.TMR0IF) //Display 7seg and timer increment
0x0044	0xA4F2      	BTFSS       INTCON, 2 
0x0046	0xD095      	BRA         L_interrupt3
;Temporizador.c,87 :: 		TMR0H = COUNTER1 >> 8;  // RE-Load Timer 0 counter - 1st TMR0H
0x0048	0x0EFC      	MOVLW       252
0x004A	0x6ED7      	MOVWF       TMR0H 
;Temporizador.c,88 :: 		TMR0L = COUNTER1;       // RE-Load Timer 0 counter - 2nd TMR0L
0x004C	0x0E17      	MOVLW       23
0x004E	0x6ED6      	MOVWF       TMR0L 
;Temporizador.c,90 :: 		PORTC.RC0 = ~PORTC.RC0;
0x0050	0x7082      	BTG         PORTC, 0 
;Temporizador.c,92 :: 		timeCounter = timeCounter < 0.1 ? timeCounter + 0.001 : 0;
0x0052	0x0ECD      	MOVLW       205
0x0054	0x6E04      	MOVWF       R4 
0x0056	0x0ECC      	MOVLW       204
0x0058	0x6E05      	MOVWF       R5 
0x005A	0x0E4C      	MOVLW       76
0x005C	0x6E06      	MOVWF       R6 
0x005E	0x0E7B      	MOVLW       123
0x0060	0x6E07      	MOVWF       R7 
