;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 17/04/2017 09:56:42
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF00DEF73  	GOTO        6886
_interrupt:
;alarme.c,55 :: 		void interrupt(void)
0x0008	0xF018C000  	MOVFF       R0, 24
0x000C	0xF017C001  	MOVFF       R1, 23
0x0010	0xF016C00C  	MOVFF       R12, 22
0x0014	0xF015C00D  	MOVFF       R13, 21
;alarme.c,57 :: 		if(INTCON.TMR0IF)
0x0018	0xF01CCFF5  	MOVFF       TABLAT, 28
0x001C	0xF019CFF8  	MOVFF       TBLPTRU, 25
0x0020	0xF01ACFF7  	MOVFF       TBLPTRH, 26
0x0024	0xF01BCFF6  	MOVFF       4086, 27
0x0028	0xA4F2      	BTFSS       INTCON, 2 
0x002A	0xD05A      	BRA         L_interrupt0
;alarme.c,59 :: 		INTCON.TMR0IE=0;
0x002C	0x9AF2      	BCF         INTCON, 5 
;alarme.c,60 :: 		TMR0H = COUNTER >> 8;  // RE-Load Timer 0 counter - 1st TMR0H
0x002E	0x0EFF      	MOVLW       255
0x0030	0x6ED7      	MOVWF       TMR0H 
;alarme.c,61 :: 		TMR0L = COUNTER;       // RE-Load Timer 0 counter - 2nd TMR0L
0x0032	0x0EF5      	MOVLW       245
0x0034	0x6ED6      	MOVWF       TMR0L 
;alarme.c,63 :: 		if(/*edge == 1 && */(timer2 > 0.02))
0x0036	0xF004C0EF  	MOVFF       _timer2, R4
0x003A	0xF005C0F0  	MOVFF       _timer2+1, R5
0x003E	0xF006C0F1  	MOVFF       _timer2+2, R6
0x0042	0xF007C0F2  	MOVFF       _timer2+3, R7
0x0046	0x0E0A      	MOVLW       10
0x0048	0x6E00      	MOVWF       R0 
0x004A	0x0ED7      	MOVLW       215
0x004C	0x6E01      	MOVWF       R1 
0x004E	0x0E23      	MOVLW       35
0x0050	0x6E02      	MOVWF       R2 
0x0052	0x0E79      	MOVLW       121
0x0054	0x6E03      	MOVWF       R3 
0x0056	0xF006ECB0  	CALL        _Compare_Double, 0
0x005A	0x0E01      	MOVLW       1
0x005C	0xB0D8      	BTFSC       STATUS, 0 
0x005E	0x0E00      	MOVLW       0
0x0060	0x6E00      	MOVWF       R0 
0x0062	0x5200      	MOVF        R0, 1 
0x0064	0xE007      	BZ          L_interrupt1
;alarme.c,65 :: 		alarm();
0x0066	0xF007ECC7  	CALL        _alarm, 0
;alarme.c,66 :: 		timer2 = 0;
0x006A	0x0100      	MOVLB       0
0x006C	0x6BEF      	CLRF        _timer2, 1
0x006E	0x6BF0      	CLRF        _timer2+1, 1
0x0070	0x6BF1      	CLRF        _timer2+2, 1
0x0072	0x6BF2      	CLRF        _timer2+3, 1
;alarme.c,67 :: 		}
L_interrupt1:
;alarme.c,69 :: 		INTCON.TMR0IF=0;
0x0074	0x94F2      	BCF         INTCON, 2 
;alarme.c,70 :: 		INTCON.TMR0IE=1;
0x0076	0x8AF2      	BSF         INTCON, 5 
;alarme.c,71 :: 		timer += COUNTER;
0x0078	0xF000C0EA  	MOVFF       _timer, R0
0x007C	0xF001C0EB  	MOVFF       _timer+1, R1
0x0080	0xF002C0EC  	MOVFF       _timer+2, R2
0x0084	0xF003C0ED  	MOVFF       _timer+3, R3
0x0088	0x0E00      	MOVLW       0
0x008A	0x6E04      	MOVWF       R4 
0x008C	0x0EF5      	MOVLW       245
0x008E	0x6E05      	MOVWF       R5 
0x0090	0x0E7F      	MOVLW       127
0x0092	0x6E06      	MOVWF       R6 
0x0094	0x0E8E      	MOVLW       142
0x0096	0x6E07      	MOVWF       R7 
0x0098	0xF00BEC60  	CALL        _Add_32x32_FP, 0
0x009C	0xF0EAC000  	MOVFF       R0, _timer
0x00A0	0xF0EBC001  	MOVFF       R1, _timer+1
0x00A4	0xF0ECC002  	MOVFF       R2, _timer+2
0x00A8	0xF0EDC003  	MOVFF       R3, _timer+3
;alarme.c,72 :: 		timer2 += COUNTER;
0x00AC	0xF000C0EF  	MOVFF       _timer2, R0
0x00B0	0xF001C0F0  	MOVFF       _timer2+1, R1
0x00B4	0xF002C0F1  	MOVFF       _timer2+2, R2
0x00B8	0xF003C0F2  	MOVFF       _timer2+3, R3
0x00BC	0x0E00      	MOVLW       0
0x00BE	0x6E04      	MOVWF       R4 
0x00C0	0x0EF5      	MOVLW       245
0x00C2	0x6E05      	MOVWF       R5 
0x00C4	0x0E7F      	MOVLW       127
0x00C6	0x6E06      	MOVWF       R6 
0x00C8	0x0E8E      	MOVLW       142
0x00CA	0x6E07      	MOVWF       R7 
0x00CC	0xF00BEC60  	CALL        _Add_32x32_FP, 0
